CameraCaptureEvent,On_Drake_Harddrive,In_Two_Locations,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_Correct,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
GCHR_CC_17Sep2022,Yes,Yes,n/a,Yes,No,photo,Yes,98,429,858,0,858,,
GCHR_CC_25Jul2021,Yes,Yes,n/a,"each trigger event is 3 photos, not 2",No,photo,Yes,51,6441,19323,0,19323,41,
GCJH_CC_05Dec2021,Yes,Yes,No,Yes,No,video,Yes,83,22,0,22,22,4,
GCJH_CC_06Jun2021,Yes,Yes,2022-06-02,Yes,No,video,Wrong date,30,145,0,145,145,40,
GCJH_CC_09Mar2022,Yes,Yes,No,Yes,No,video,Yes,93,415,0,415,415,35,
GCJH_CC_12Sep2021,Yes,Yes,No,Yes,No,video,Yes,97,146,0,146,146,44,
GCPN_CC_14Jun2022,Yes,Yes,n/a,Yes,No,photo,Yes,96,5337,10674,0,10674,48,
GCPP_CC_17Sep2022,Yes,Yes,n/a,Yes,No,photo,,98,10293,20586,0,20586,,
GCPP_CC_25Jul2021,Yes,Yes,n/a,"each trigger event is 3 photos, not 2",No,photo,Yes,51,3499,10497,0,10497,41,
GCPR_CC_14Jun2022,Yes,Yes,No,Yes,No,video,Yes,96,964,0,964,964,48,
GCRO_CC_16Jun2022,Yes,Yes,No,Yes,No,video,Yes,100,54,0,54,54,49,
GCRT_CC_12Jun2022,Yes,Yes,n/a,Yes,No,photo,7 min fast,90,6201,12402,0,12402,47,
GCRT_CC_17Sep2022,Yes,,n/a,Yes,No,photo,,98,2757,5514,0,5514,,
GCTC_CC_06Jun2021,Yes,Yes,n/a,"each trigger event is 3 photos, not 2",No,photo,Yes,,3918,11754,0,11754,42,
GCTL_CC_06Dec2021,Yes,,No,Yes,No,video,Yes,82,285,0,285,285,1,
GCTL_CC_07Mar2022,Yes,Yes,No,Yes,No,video,Yes,90,31,0,31,31,35,
GCTL_CC_16Jun2022,Yes,Yes,No,Yes,No,video,Yes,100,159,0,159,159,49,
GCTL_CC_19Sep2022,Yes,,No,Yes,No,video,,96,104,0,104,104,,
GCWP_CC_13Sep2021,Yes,Yes,n/a,Yes,No,photo,Yes,97,7683,23049,0,23049,45,
GCYL_CC_07Dec2021,Yes,Yes,No,Yes,No,video,Yes,81,2,0,2,2,1,
GCYL_CC_10Mar2022,Yes,Yes,No,Yes,No,video,Yes,98,9,0,9,9,36,
GCYL_CC_19Sep2022,Yes,,No,Yes,No,video,,,16,0,16,16,,
HQ_CC_30Sep2022,Yes,,n/a,Yes,No,photo,,97,903,1806,0,1806,,
KC9_CC_01Feb2022,Yes,Yes,n/a,Yes,No,photo,,,141,282,0,282,,
KC9_CC_06Oct2021,Yes,Yes,n/a,Yes,No,photo,,,339,678,0,678,,
KC9_CC_28Jun2022,Yes,Yes,n/a,Yes,No,photo,,,107,214,0,214,,
LH_CC_15Mar2022,Yes,Yes,n/a,Yes,No,photo,Wrong date,89,170,170,0,170,36,
LH_CC_17Feb2021,Yes,Yes,n/a,,No,photo + video,Yes,27,28,59,28,87,18,
LH_CC_19Apr2021,Yes,Yes,n/a,,No,photo + video,,60,72,144,72,216,,
LH_CC_20Jan2021,Yes,Yes,n/a,,No,photo + video,Yes,35,,474,78,552,18,
LH_CC_25Jun2022,Yes,Yes,n/a,Yes,No,photo,,101,250,500,0,500,,
LH_CC_30Sep2022,Yes,,n/a,Yes,No,photo,,98,265,530,0,530,,
MY1_CC_07Dec2020,Yes,Yes,n/a,Yes,No,photo,Yes,31,2,0,2,2,33,"Manifest has 2354 entries, but folder has only two files"
MY1_CC_10Aug2022,Yes,Yes,No,Yes,No,video,12 min fast,97,2,0,2,2,50,
MY1_CC_13Jul2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,118,4,0,4,4,33,
MY1_CC_16Mar2021,Yes,Yes,No,,No,photo + video,Yes,26,10,20,6,26,33,
MY1_CC_31Jan2022,Yes,Yes,No,Yes,No,video,Yes,117,3,0,3,3,1,
MY2_CC_04May2022,Yes,Yes,No,Yes,No,video,Yes,92,17,0,17,17,46,
MY2_CC_05Oct2021,Yes,Yes,2022-04-26,Yes,No,video,42 min delayed,97,65,0,65,65,15,
MY2_CC_07Dec2020,Yes,Yes,No,,No,photo + video,Yes,31,7,14,6,20,15,
MY2_CC_11Aug2022,Yes,,No,Yes,No,video,12 min fast,98,2,0,2,2,50,
MY2_CC_16Mar2021,Yes,Yes,No,,No,photo + video,Yes,26,5,10,4,14,15,
MY2_CC_17Feb2021,Yes,Yes,No,,No,photo + video,Yes,27,9,18,8,26,15,
MY2_CC_20Jan2021,Yes,Yes,No,,No,photo + video,Yes,43,1,2,1,3,15,only one capture event (2 photos + 1 video) and the video file is corrupted
MY2_CC_29Jun2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,104,8,0,8,8,15,
MY2_CC_31Jan2022,Yes,Yes,No,Yes,No,video,Yes,80,90,4,90,94,1,
MY3_CC_01Feb2022,Yes,Yes,No,Yes,No,video,Yes,118,95,0,95,95,25,
MY3_CC_04May2022,Yes,Yes,No,Yes,No,video,Yes,91,24,0,24,24,46,
MY3_CC_05Oct2021,Yes,Yes,2022-04-26,Yes,No,video,37 min delay,97,77,0,77,77,16,
MY3_CC_07Dec2020,Yes,Yes,No,,No,photo + video,Yes,25,35,70,34,104,16,
MY3_CC_16Mar2021,Yes,Yes,No,,No,photo + video,Yes,26,64,128,63,191,16,
MY3_CC_17Feb2021,Yes,Yes,No,,No,photo + video,Yes,27,2,4,2,6,16,
MY3_CC_20Jan2021,Yes,Yes,No,,No,photo + video,Yes,43,23,46,23,69,16,
MY3_CC_29Jun2021,Yes,Yes,2022-04-20,Yes,No,video,Yes,104,59,0,59,59,16,
MY4_CC_01Feb2022,Yes,Yes,No,Yes,No,video,Yes,118,10,0,10,10,25,
MY4_CC_04May2022,Yes,Yes,No,Yes,No,video,Yes,91,325,0,325,325,46,
MY4_CC_05Oct2021,Yes,Yes,2022-04-14,Yes,No,video,42 min delay,83,31,0,31,31,10,
MY4_CC_07Dec2020,Yes,Yes,No,,No,photo + video,Yes,25,17,34,16,50,26,
MY4_CC_10Aug2022,Yes,Yes,No,Yes,No,video,Yes,97,370,0,370,370,50,
MY4_CC_13Jul2021,Yes,Yes,No,Yes,No,video,Yes,118,182,0,182,182,26,
MY4_CC_16Mar2021,Yes,Yes,2022-05-03,Yes,No,video,Yes,26,84,0,84,84,26,
MY4_CC_17Feb2021,Yes,Yes,No,,No,photo + video,Yes,27,37,74,36,110,26,
MY4_CC_20Jan2021,Yes,Yes,No,,No,photo + video,Yes,43,17,34,16,50,26,
MY5_CC_04May2022,Yes,Yes,No,Yes,No,video,Yes,92,9,0,9,9,46,
MY5_CC_05Oct2021,Yes,Yes,2022-04-14,Yes,No,video,40 min delay,83,17,0,17,17,20,20
MY5_CC_10Aug2022,Yes,Yes,No,Yes,No,video,Yes,97,9,0,9,9,50,
MY5_CC_13Jul2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,118,10,0,10,10,20,20
MY5_CC_16Mar2021,Yes,Yes,No,,No,photo + video,Yes,26,7,14,3,17,20,20
MY5_CC_31Jan2022,Yes,Yes,No,Yes,No,video,Yes,117,10,0,10,10,24,24
MY6_CC_01Feb2022,Yes,Yes,No,Yes,No,video,Yes,118,71,0,71,71,25,
MY6_CC_04May2022,Yes,Yes,No,Yes,No,video,Yes,91,103,0,103,103,46,
MY6_CC_05Oct2021,Yes,Yes,2022-04-16,Yes,No,video,Yes,97,24,0,24,24,14,
MY6_CC_07Dec2020,Yes,Yes,No,,No,photo + video,Yes,25,38,76,37,113,14,
MY6_CC_07Dec2021,,,,,No,,,,,,,,,
MY6_CC_11Aug2022,Yes,Yes,No,Yes,No,video,Yes,97,471,0,471,471,50,
MY6_CC_16Mar2021,Yes,Yes,No,,No,photo + video,Yes,26,6,12,5,17,14,
