SiteNumber,SiteID,SiteName,SiteArea,NationalPark,SiteType,Synonymns,StartDay,FunctionalCameraTrapDays,DeploymentCheckEvent,01_Fall2020_CE,02_Winter2020_CE,03_Spring2021_CE,04_Summer2021_CE,05_Fall2021_CE,06_Winter2021_CE,07_Spring2022_CE,08_Summer2022_CE,09_Fall2022_CE,01_Fall2020_CCE,02_Winter2020_CCE,03_Spring2021_CCE,04_Summer2021_CCE,05_Fall2021_CCE,06_Winter2021_CCE,07_Spring2022_CCE,08_Summer2022_CCE,09_Fall2022_CCE
25,GCETRO,Room,South Rim,Grand Canyon,building,,6/2/21,need to input,GCET1_02June2021,not deployed,not deployed,not deployed,GCETRO_02Jun2021,GCETRO_14Sep2021,GCETRO_06Dec2021,GCETRO_07Mar2022,GCETRO_16Jun2022,GCETRO_19Sep2022,not deployed,not deployed,not deployed,GCETRO_CC_14Sep2021,GCETRO_CC_06Dec2021,GCETRO_CC_07Mar2022,GCRO_CC_16Jun2022,GCETRO_CC_19Sep2022,need to input
36,GCHR,Hermit's Rest,South Rim,Grand Canyon,outdoor,,6/3/21,need to input,GCHR_03June2021,not deployed,not deployed,not deployed,GCHR_25July2021,GCHR_10Sep2021,GCHR_03Dec2021,GCHR_13Mar2022,GCHR_12Jun2022,GCHR_17Sep2022,not deployed,not deployed,not deployed,"c(GCHR_CC_25Jul2021, GCHR_CC_10Sep2021)","c(GCHR_CC_03Dec2021, GCHR_CC_08Dec2021)",GCHR_CC_13Mar2022,GCHR_CC_12Jun2022,GCHR_CC_17Sep2022,need to input
32,GCJH,Jerome's House,Inner Canyon,Grand Canyon,building,,5/6/21,need to input,GCJH_06May2021,not deployed,not deployed,not deployed,GCJH_05Jun2021,GCJH_12Sep2021,GCJH_05Dec2021,GCJH_09Mar2022,GCJH_15Jun2022,GCJH_18Sep2022,not deployed,not deployed,GCJH_CC_06Jun2021,GCJH_CC_12Sep2021,GCJH_CC_05Dec2021,GCJH_CC_09Mar2022,GCJH_CC_15Jun2022,GCJH_CC_18Sep2022,need to input
30,GCNRL,Lodge,North Rim,Grand Canyon,building,NRL,6/8/21,need to input,NRLB_8June2021,not deployed,not deployed,not deployed,NRL_30June2021,GCNRL_17Sep2021,NRL_02Dec2022,NRL_16Mar2022,NRL_11Jun2022,NRL_17Sep2022,not deployed,not deployed,not deployed,"c(NRL_CC_30Jun2021, NRL_CC_17Sep2021)",NRL_CC_02Dec2021,NRL_CC_16Mar2022,NRL_CC_11Jun2022,NRL_CC_16Sep2022,need to input
38,GCNRM,Motel,North Rim,Grand Canyon,outdoor,NRM,6/8/21,need to input,NRLM_8June2021,not deployed,not deployed,not deployed,NRLM_30June2021,NRM_17Sep2021,NRM_02Dec2021,NRM_16Mar2022,NRM_11Jun2022,NRM_17Sep2022,not deployed,not deployed,not deployed,"c(NRM_CC_29Jun2021, NRM_CC_27Jul2021, NRM_CC_17Sep2021)",NRM_CC_02Dec2021,NRM_CC_16Mar2022,NRM_CC_11Jun2022,NRM_CC_16Sep2022,need to input
42,GCPN,Phantom Natural Boulder Outcrop,Inner Canyon,Grand Canyon,outdoor,,3/9/22,need to input,GCPN_09Mar2022,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,GCPN_09Mar2022,GCPN_14Jun2022,GCPN_18Sep2022,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,GCPN_CC_14Jun2022,need to input,need to input
37,GCPP,Powel's Point,South Rim,Grand Canyon,outdoor,,6/3/21,need to input,GCPP_03June2021,not deployed,not deployed,not deployed,GCPP_25Jul2021,GCPP_10Sep2021,GCPP_03Dec2021,GCPP_13Mar2022,GCPP_12Jun2022,GCPP_17Sep2022,not deployed,not deployed,not deployed,"c(GCPP_CC_25Jul2021, GCPP_CC_10Sep2021)",GCPP_CC_03Dec2021,GCPP_CC_13Mar2022,GCPP_CC_12Jun2022,GCPP_CC_17Sep2022,need to input
41,GCPR,Phantom Ranch Roof,Inner Canyon,Grand Canyon,building,,3/9/22,need to input,GCPR_09Mar2022,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,GCPR_09Mar2022,GCPR_14Jun2022,GCPR_18Sep2022,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,GCPR_CC_14Jun2022,need to input,need to input
35,GCRT,Rim Trail,South Rim,Grand Canyon,outdoor,,6/3/21,need to input,GCRT_03Jun2021,not deployed,not deployed,not deployed,GCRT_25July2021,GCRT_10Sep2021,GCRT_03Dec2021,GCRT_13Mar2022,GCRT_12Jun2022,GCRT_17Sep2022,not deployed,not deployed,not deployed,"c(GCRT_CC_25Jul2021, GCRT_CC_10Sep2021)",GCRT_CC_03Dec2021,GCRT_CC_13Mar2022,GCRT_CC_12Jun2022,GCRT_CC_17Sep2022,need to input
PilotSite,GCTC,Trash Compactor,Inner Canyon,Grand Canyon,outdoor,,need to input,need to input,GCTC_07May2021,not deployed,not deployed,not deployed,GCTC_06Jun2021,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,GCTC_CC_06Jun2021,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed
29,GCTL,Thunderbird Crawl Space,South Rim,Grand Canyon,building,Buckey,9/14/21,need to input,GCET3_02June2021,not deployed,not deployed,not deployed,not deployed,GCTL_14Sep2021,GCTL_06Dec2021,GCTL_07Mar2022,GCTL_16Jun2022,GCTL_19Sep2022,not deployed,not deployed,not deployed,not deployed,GCTL_CC_06Dec2021,GCTL_CC_07Mar2022,GCTL_CC_16Jun2022,GCTL_CC_19Sep2022,need to input
PilotSite,GCWP,Water Plant,Inner Canyon,Grand Canyon,outdoor,,need to input,need to input,GCWP_05Jun2021,not deployed,not deployed,not deployed,not deployed,GCWP_12Sep2021,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,GCWP_CC_13Sep2021,not deployed,not deployed,not deployed,not deployed,not deployed
28,GCYL,Yavapai Lodge,South Rim,Grand Canyon,building,,6/3/21,need to input,GCYL_03June2021,not deployed,not deployed,not deployed,GCYL_03Jun2021,GCYL_10Sep2021,GCYL_07Dec2021,GCYL_10Mar2022,GCYL_16Jun2022,GCYL_19Sep2022,not deployed,not deployed,not deployed,GCYL_CC_10Sep2021,GCYL_CC_07Dec2021,GCYL_CC_10Mar2022,GCYL_CC_16Jun2022,GCYL_CC_19Sep2022,need to input
22,HQW,Headquarter's Wash,Lodge,Zion,outdoor,ZHQ,need to input,need to input,HQW_15Nov2020,HQW_7Dec2020,"c(HQW_20Jan2021, HQW_16Feb2021)",check missing,check missing,ZHQ_04Oct2021,ZHQ_01Dec2021,ZHQ_15Mar2022,ZHQ_26Jun2022,need to input,HQW_CC_07Dec2020,"c(HQW_CC_20Jan2021, ZHQ_CC_17Feb2021)",ZHQ_CC_13Jul2021,ZHQ_CC_04Oct2021,ZHQ_CC_01Dec2021,ZHQ_CC_15Mar2022,HQ_CC_26Jun2022,HQ_CC_30Sep2022,need to input
24,KC09,Kolob Canyons,Lodge,Zion,outdoor,KC06,need to input,need to input,KC06_13July2021,not deployed,not deployed,not deployed,KC06_13Jul2021,KC06_Oct2021,check missing,"c(KC06_01Feb2022, KC06_03May2022)",KC06_28Jun2022,need to input,not deployed,not deployed,not deployed,not deployed,KC9_CC_06Oct2021,KC9_CC_01Feb2022,"c(KC9_CC_02May2022, KC9_CC_28Jun2022)",need to input,need to input
17,LH,Lisa's House,Maintenance Yard,Zion,outdoor,,10/22/20,need to input,LH_22Oct2020,LH_16Dec2020,"c(LH_20Jan2021, LH_17Feb2021)",check missing,LH_23Sep2021,LH_23Sep2021,LH_15Dec2021,LH_15Mar2022,LH_25Jun2022,need to input,LH_CC_15Dec2020,"c(LH_CC_20Jan2021, LH_CC_17Feb2021)",LH_CC_19Apr2021,LH_CC_23Sep2021,LH_CC_15Dec2021,LH_CC_15Mar2022,LH_CC_25Jun2022,LH_CC_30Sep2022,need to input
1,MY1,Delivery,Maintenance Yard,Zion,building,,11/5/20,need to input,MY1_05Nov2020,MY1_07Dec2020,"c(MY1_19Jan2021, MY1_17Feb2021)",MY1_16March2021,MY1_13July2021,MY1_05Oct2021,MY1_31Jan2022,check missing,MY1_10Aug2022,need to input,MY1_CC_07Dec2020,"c(MY1_CC_19Jan2021, MY1_CC_17Feb2021, MY1_CC_16Mar2021 )",MY1_CC_13Jul2021,camera capture missing,camera capture missing,MY1_CC_31Jan2022,MY1_CC_04May2022,MY1_CC_10Aug2022,need to input
2,MY2,Showers,Maintenance Yard,Zion,building,,11/5/20,need to input,MY2_05Nov2020,MY2_07Dec2020,"c(MY2_20Jan2021, MY2_17Feb2021)",MY2_16March2021,MY2_29June2021,MY2_11Nov2021,MY2_31Jan2022,check missing,MY2_11Aug2022,need to input,MY2_CC_07Dec2020,"c(MY2_CC_20Jan2021, MY2_CC_17Feb2021, MY2_CC_16Mar2021)",MY2_CC_29Jun2021,MY2_CC_05Oct2021,camera capture missing,MY2_CC_31Jan2022,MY2_CC_04May2022,MY2_CC_11Aug2022,need to input
