CameraCaptureEvent_id,Site,SeasonYear,On_Drake_Harddrive,On_Monarch_Harddrive,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_TimeZone,SiteTime_Correct,SiteTime_Adjust_Direction,SiteTime_Adjust_Value,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
GCYL_CC_07Dec2021,GCYL,06_Winter2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,81,2,0,2,2,1,
GCYL_CC_10Sep2021,GCYL,05_Fall2021,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,23,
GCYL_CC_10Mar2022,GCYL,07_Spring2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,98,9,0,9,9,36,
ZHQ_CC_01Dec2021,HQW,06_Winter2021,Yes,Yes,n/a,Yes,2022-05-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,57,125,250,0,250,5,
ZHQ_CC_04Oct2021,HQW,05_Fall2021,Yes,Yes,n/a,Yes,2022-01-20,photo,UTC -6,Yes,none,0000:00:00 00:00:00,83,23,45,0,45,9,
ZHQ_CC_15Mar2022,HQW,07_Spring2022,Yes,Yes,n/a,Yes,No,photo,,Yes,none,0000:00:00 00:00:00,103,125,250,0,250,36,
KC9_CC_02May2022,KC09,07_Spring2022,Yes,Yes,n/a,Yes,2022-09-06,photo,UTC -7,Yes,,,,61,122,0,122,46,
LH_CC_17Feb2021,LH,02_Winter2020,Yes,Yes,n/a,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,27,28,59,28,87,18,
LH_CC_20Jan2021,LH,02_Winter2020,Yes,Yes,n/a,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,35,,474,78,552,18,
MY1_CC_31Jan2022,MY1,06_Winter2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,117,3,0,3,3,1,
MY1_CC_07Dec2020,MY1,02_Winter2020,Yes,Yes,n/a,Yes,No,photo,,Yes,,0000:00:00 00:00:00,31,2,0,2,2,33,"Manifest has 2354 entries, but folder has only two files"
MY1_CC_16Mar2021,MY1,03_Spring2021,Yes,Yes,No,,No,photo + video,,Yes,,0000:00:00 00:00:00,26,10,20,6,26,33,
