Source,common name,ReportedName,IUCN_scientific_name,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage,diet_category,notes
Alexander et al. 1994,Ground beetle,Carabidae spp.,not_specified,Carabidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,x,x,,,
Taylor 1954,Cardinal,cardinal,,Cardinalidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,x,x,,,
Taylor 1954,Cardinal,cardinal,,Cardinalidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,x,x,,,
Wood 1954,Cardinal,cardinal,,Cardinalidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,x,x,,,
Calderon Vega 2002,Hornbeam,Carpinus capra,,Carpinus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,x,,,
Rodríguez-Estrella et al. 2000,Hornbeam,Carpinus capra,,Carpinus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,x,,,
Calderon Vega 2002,Baja calfornia crucifixion thorn,Castela peninsularis,,Castela peninsularis,EOL,species,Plantae,,,Sapindales,Simaroubaceae,Castela,Castela peninsularis,,,
Sanchez 2016,Baja calfornia crucifixion thorn,Castela peninsularis,,Castela peninsularis,EOL,species,Plantae,,,Sapindales,Simaroubaceae,Castela,Castela peninsularis,,,
Mead & van Devender 1981,Turkey vulture,Cathartes aura,,Cathartes aura,ITIS,species,Animalia,Chordata,Aves,Accipitriformes,Carthatridae,Carthartes,Cathartes aura,,,
Speir et al. 2021,Hackberry,Celtis,,Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x,,,
Toweill & Treer 1977,Hackberry,Celtis sp.,,Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x,,,
Ackerson and Harveson 2006,Hackberry,Celtis sp. ,,Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x,,,
Martin et al. 1961,Hackberry,hacberry,,Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x,,,
Taylor 1954,Hackberry,hackberries,,Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x,,,
Wood 1954,Hackberry,hackberries,,Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x,,,
Nava-Vargas 1994,Desert hackberry,Ceitis pallida,,Celtis pallida,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis pallida,,,
Nava-Vargas 1994,Desert hackberry,Celtis pallida,,Celtis pallida,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis pallida,,,
Nava-Vargas et al. 1999,Desert hackberry,Celtis pallida,,Celtis pallida,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis pallida,,,
Trapp 1973,Netleaf hacberry,Celtis reticulata,,Celtis reticulata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis reticulata,,,
Roadman 2014,Netleaf hacberry,Net-leaf Hackleberry,,Celtis reticulata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis reticulata,,,
Rodríguez-Estrella et al. 2000,Long-horned beetle,Cerambycidae,,Cerambycidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,x,x,,,
Roadman 2014,Long-tailed pocket mouse,Long-tailed Pocket Mouse,,Chaetodipus formosus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromydae,Chaetodipus,Chaetodipus formosus,,,
Mead & van Devender 1981,rock pocket mouse,Perognathus cf. intermedius,,Chaetodipus intermedius,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus intermedius,,,
Calderon Vega 2002,Spiny pocket mouse,Chaetodipus spinatus,,Chaetodipus spinatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromydae,Chaetodipus,Chaetodipus spinatus,,,
Rodríguez-Estrella et al. 2000,Spiny pocket mouse,Chaetodipus spinatus,,Chaetodipus spinatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromydae,Chaetodipus,Chaetodipus spinatus,,,
Sanchez 2016,Spiny pocket mouse,Chaetodipus spinatus,,Chaetodipus spinatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromydae,Chaetodipus,Chaetodipus spinatus,,,
Nava-Vargas 1994,,Cassia macdougaliana,,Chamaecrista greggii var. macdougaliana,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista greggii var. macdougaliana,,,
Bailey 1928,Centipede,centipedes,,Chilopoda,ITIS,class,Animalia,Arthropoda,Chilopoda,x,x,x,x,,,
Taylor 1954,Centipede,centipedes,,Chilopoda,ITIS,class,Animalia,Arthropoda,Chilopoda,x,x,x,x,,,
Speir et al. 2021,Vertebrate,Unknown vertebrate,,Chordata,ITIS,phylum,Animalia,Chordata,x,x,x,x,x,,,
Speir et al. 2021,Ladybug,Coccinellidae,,Coccinellidae,ITIS,family,Animalia,Arthropoda,Coleoptera,Coccinellidae,x,x,x,,,
Wood 1954,Flicker,flicker,,Colaptes,ITIS,genus,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,x,,,
