Source,common name,ReportedName,IUCN_scientific_name,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage,diet_category,notes
Speir et al. 2021,Gray Plastic Bag,Gray Plastic Bag,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Castellanos Morales et al. 2008,Plastic,Plastic,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Roadman 2014,Plastic,Plastic,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Calderon Vega 2002,Plastic,plastico,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Sanchez 2016,Plastic,Plastico,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Alexander et al. 1994,Rain beetles,Pleocoma,not_specified,Pleocoma,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,,,,
Mead et al. 2006,Woodland salamander,Pethodon sp.,,Plethodon,ITIS,genus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,x,,,
Mead et al. 2006,Lungless salamander,Plethodontidae genus,,Plethodontidae,ITIS,family,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,x,x,,,
Cisneros-Moreno & Martínez-Corone 2019,Grass,Poacea,,Poacea,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,,,
Sanchez 2016,Grass,Poacea,,Poacea,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,,,
Wyatt 1993,Grass,Gramineae,,Poaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,,,
Trapp 1973,Grass,Gramineae ,,Poaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,,,
Nava-Vargas 1994,Grass,Gramineas,,Poaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,,,
Alexander et al. 1994,Grass,Grass,not_specified,Poaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,,,
Wood 1954,Grass,grasses,,Poaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,,,
Speir et al. 2021,Grass,Poaceae,,Poaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,,,
Calderon Vega 2002,Black-necked grebe,Podiceps nigricallis,,Podiceps nigricollis,ITIS,species,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps nigricollis,,,
Calderon Vega 2002,Pied-billed grebe,Podilymbus podiceps,,Podilymbus podiceps,ITIS,species,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus,Podilymbus podiceps,,,
Speir et al. 2021,Ten-lined june beetle,Polyphylla decemlineata,,Polyphylla decemlineata,ITIS,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Polyphylla,Polyphylla decemlineata,,,
Alexander et al. 1994,Porella,Porella,not_specified,Porella,ITIS,genus,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Porellaceae,Porella,x,,,
Alexander et al. 1994,,Pristoceuthophilus,not_specified,Pristoceuthophilus,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,Pristoceuthophilus,x,,,
Martin et al. 1961,Mesquite,mesquite,,Prosopis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,x,,,
Sanchez 2016,Velvet mesquite,Prosopis articulata,,Prosopis velutina,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis velutina,,,
Harrison 2012,Honey mesquite,Prosopis glandulosa,,Prosopis glandulosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis glandulosa,,,
Nava-Vargas 1994,Smooth mesquite,Prosopis laevigata,,Prosopis laevigata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis laevigata,,,
Nava-Vargas 1994,Smooth mesquite,Prosopis laevigata,,Prosopis laevigata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis laevigata,,,
Nava-Vargas 1994,Smooth mesquite,Prosopis laevigata,,Prosopis laevigata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis laevigata,,,
Martin et al. 1961,Prune,plum,,Prunus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,x,,,
Wyatt 1993,Prune,prune,,Prunus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,x,,,
Koch & Brody 1981,Prune,Prunus sp.,not_specified,Prunus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,x,immature fruit; seeds,,
Taylor 1954,Prune,wild plums,,Prunus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,x,,,
Cisneros-Moreno & Martínez-Corone 2019,black cherry,Prunus capuli,,Prunus capuli,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,x,,,
Speir et al. 2021,Chokeberry,Prunus virginiana,,Prunus virginiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus virginiana,,,
Nava-Vargas 1994,,Abution ellipticum,,Pseudabutilon ellipticum,EOL,species,,,,Mavales,Malvaceae,Pseudabutilon,Pseudabutilon ellipticum,,,
Navarrete-Ozuna 2011,Pseudoscorpion,Pseudoscorpiones O. Seudoescropion ,,Pseudoscorpiones,ITIS,order,Animalia,Arthropoda,Euchelicerata,Pseudoscorpiones,,,,,,
Alexander et al. 1994,Douglas fir,Pseudotsuga menziesii,Pseudotsuga menziesii,Pseudotsuga menziesii,ITIS,species,Plantae,,Pinopsida,Pinales,Pinaecae,Pseudotsuga,Pseudotsuga menziesii,,,
Koch & Brody 1981,Douglas fir,Pseudotsuga menziesii (seeds),Pseudotsuga menziesii,Pseudotsuga menziesii,ITIS,species,Plantae,,Pinopsida,Pinales,Pinaecae,Pseudotsuga,Pseudotsuga menziesii,,,
Cisneros-Moreno & Martínez-Corone 2019,guava,Psidium,,Psidium,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,,,,
Alexander et al. 1994,Ground beetle,Pterostichus,not_specified,Pterostichus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,,,,
Cisneros-Moreno & Martínez-Corone 2019,Scarlet flycatcher,Pyrocephalus rubinus,,Pyrocephalus rubinus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,Pyrocephalus rubinus,,,
Trapp 1973,Pear,Pyrus (apples),,Pyrus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,,,,
Grinnell et al. 1937,Oak,acorns,,Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,,,
Taylor 1954,Oak,acorns,,Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,,,
Wood 1954,Oak,acorns,,Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,x,,,
Martin et al. 1961,Oak,oak,,Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,,,
Harrison 2012,Oak,Quercus sp.,not_specified,Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,,,
Koch & Brody 1981,Oak,Quercus sp.,not_specified,Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,,,
Navarrete-Ozuna 2011,Oak,Quercus sp. ,,Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,,,
Cisneros-Moreno & Martínez-Corone 2019,Great-tailed grackle,Quisalus mexicanus,,Quiscalus mexicanus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,Quiscalus mexicanus,,,
Calderon Vega 2002,,Randia megacarpa,,Randia megacarpa,not recognized,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales ,Rubiaceae,Randia,Randia megacarpa,,,
Wyatt 1993,Rats,Rattus spp.,not_specified,Rattus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,,,,
Cisneros-Moreno & Martínez-Corone 2019,Brown rat,Rattus norvegicus,,Rattus norvegicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,,,
Calderon Vega 2002,American avocet,Recuvirostra americana,,Recurvirostra americana,ITIS,species,Animalia,Chordata,Aves,Charadriiformers,Recurvirostridae,Recurvirostra,Recurvirostra americana,,,
Cisneros-Moreno & Martínez-Corone 2019,goove-toothed New World harvest mice,Reinthrodontomy sp.,,Reinthrodontomy,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,,,,
Trapp 1973,Western harvest mouse,Reithrodont megalotis ,,Reithrodont megalotis ,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodont megalotis ,,,
Harrison 2012,groove-toothed New World harvest mice,Reithrodontomys sp.,not_specified,Reithrodontomys,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,,,,
Taylor 1954,Western harvest mouse,harvest mice,,Reithrodontomys megalotis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,,,
Koch & Brody 1981,Western harvest mouse,Reithrodontomys megalotis,Reithrodontomys megalotis,Reithrodontomys megalotis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,,,
Martin et al. 1961,Buckthorn,buckthorn,,Rhamnus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamneaceae,Rhamnus,x,,,
Bailey 1928,Cave mice,cave mice,,Rodentia,ITIS,order,Animalia,Chordata,Mammalia,Rodentia,x,x,x,,,
Speir et al. 2021,Rodent,Unknown rodent,,Rodentia,ITIS,order,Animalia,Chordata,Mammalia,Rodentia,x,x,x,,,
Koch & Brody 1981,Rose,Rosa sp.,not_specified,Rosa,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,x,seed,,
Wyatt 1993,California wildrose,California wild rose,,Rosa californica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa californica,,,
Trapp 1973,Indian madder,Rubia tinctoria ,,Rubia tinctorum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Rubia,Rubia tinctorum,,,
Alexander et al. 1994,Blackberry,Rubus,not_specified,Rubus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,x,,,
Koch & Brody 1981,Blackberry,Rubus sp.,not_specified,Rubus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,x,seed,,
Grinnell et al. 1937,Blackberry,blackberry,,Rubus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,x,,,
Wyatt 1993,Blackberry,blackberry,,Rubus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,x,,,
Grinnell et al. 1937,Salmon,salmon,,Salmonidae,ITIS,family,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,x,x,,,
Martin et al. 1961,Mistletoe,mistletoe,,Santalales,ITIS,order,Plantae,Tracheophyta,Magnoliopsida,Santalanae,Santalales,x,x,,,
Taylor 1954,Mistletoe,mistletoe,,Santalales,ITIS,order,Plantae,Tracheophyta,Magnoliopsida,Santalanae,Santalales,x,x,,,
Ackerson and Harveson 2006,Soapberry,Sapindus sp. ,,Sapindus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Sapindus,x,,,
Taylor 1954,Soapberry,soap berry,,Sapindus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Sapindus,x,,,
Calderon Vega 2002,Common chuckwalla,Sauromalus ater,,Sauromalus ater,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater,,,
Rodríguez-Estrella et al. 2000,Common chuckwalla,Sauromalus ater,,Sauromalus ater,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater,,,
Sanchez 2016,Common chuckwalla,Sauromalus ater,,Sauromalus ater,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater,,,
Mead & van Devender 1981,common chuckwalla,Sauromalus obesus,,Sauromalus ater,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater,,,
Alexander et al. 1994,Beetle,Scaphinotus,not_specified,Scaphinotus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Scaphinotus,,,,
Alexander et al. 1994,Scarabs,Scarabaeidae spp.,not_specified,Scarabaeidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,x,x,,,
Rodríguez-Estrella et al. 2000,Scarabs,Scarabaidae,,Scarabaidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,x,x,,,
Calderon Vega 2002,Spiny lizard,Sceloporus spp.,,Sceloporus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,x,,,
Rodríguez-Estrella et al. 2000,Spiny lizard,Sceloporus spp.,,Sceloporus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,x,,,
Sanchez 2016,Spiny lizard,Sceloporus spp.,,Sceloporus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,x,,,
Navarrete-Ozuna 2011,Southern bunchgrass lizard,Sceloporus aeneus,,Sceloporus aeneus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus aeneus,,,
Mead et al. 2006,Sagebrush lizard,Sceloporus graciosus,,Sceloporus graciosus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus graciosus,,,
Trapp 1973,Desert spiny lizard,Sceloporus magister,,Sceloporus magister,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus magister,,,
Mead et al. 2006,Western fence lizard,Sceloporus occidentalis,,Sceloporus occidentalis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus occidentalis,,,
Cisneros-Moreno & Martínez-Corone 2019,grasshoppers,Schistocerca sp.,,Schistocerca,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,x,,,
Ackerson and Harveson 2006,Ground squirrel,Sciuridae,,Sciuridae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,x,x,,,
Koch & Brody 1981,Western gray squirrel,Sciurus griseus,Sciurus griseus,Sciurus griseus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus griseus,,,
Wyatt 1993,Western gray squirrel,western gray squirrel,Sciurus griseus,Sciurus griseus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus griseus,,,
Taylor 1954,Fox squirrel,fox squirrel,,Sciurus niger,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,,,
Taylor 1954,Fox squirrel,fox squirrels,,Sciurus niger,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,,,
Sanchez 2016,,Scolopendromorpha,,Scolopendromorpha,ITIS,order,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,x,x,x,,,
Taylor 1954,Ground squirrel,ground squirrels,,Sciuridae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,x,x,,,
Davis 1960,Ground squirrel,squirrels,,Sciuridae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,x,x,,,
Navarrete-Ozuna 2011,Mexican gray squirrel,Rodentia S. aurogaster,,Scurius aureogaster,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Scurius,Scurius aureogaster,,,
Cisneros-Moreno & Martínez-Corone 2019,Warbler,Dendroica sp.,,Setophaga,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,x,,,
Cisneros-Moreno & Martínez-Corone 2019,black-throated gray warbler,Dendroica nigrescens,Setophaga nigrescens,Setophaga nigrescens,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga nigrescens,,,
Wood 1954,Cotton rat,cotton rats,,Sigmodon,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,x,,,
Wyatt 1993,Black nightshade,black nightshade,,Solanum ptychanthum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum ptychanthum,,,
Alexander et al. 1994,Shrews,Sorex sp.,not_specified,Sorex,ITIS,genus,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,x,,,
Koch & Brody 1981,Shrews,Sorex sp.,not_specified,Sorex,ITIS,genus,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,x,,,
"Roadman 2014,",Shrews,Sorex sp.,not_specified,Sorex,ITIS,genus,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,x,,,
Roadman 2014,Northern ,American Water Shrew,,Sorex palustris,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex palustris,,,
Castellanos Morales et al. 2008,Saussure's shrew,Sorex saussurei,,Sorex saussurei,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex saussurei,,,
Villanueva 2008,Saussure's shrew,Sorex saussurei,,Sorex saussurei,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex saussurei,,,
Speir et al. 2021,Shrew,Soricidae,,Soricidae,ITIS,family,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,x,x,,,
Navarrete-Ozuna 2011,Ground squirrel,Spermophilus sp. ,,Spermophilus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,x,,,
Castellanos Morales et al. 2008,Ground squirrel,Spermophylus sp.,,Spermophilus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,x,,,
Toweill & Treer 1977,Mexican ground squirrel,Spermophilus mexicanus,,Ictidomys mexicanus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ictidomys,Ictidomys mexicanus,,,
Cisneros-Moreno & Martínez-Corone 2019,grasshoppers,Sphenarium sp.,,Sphenarium,ITIS,genus,Animalia,Arthropoda,Insecta,Pyrgomorphidae,,Sphenarium,x,,,
Speir et al. 2021,Lizard,Squamata,,Squamata,ITIS,order,Animalia,Chordata,Reptilia,Squamata,x,x,x,,,
Nava-Vargas 1994,,Stenocereus dumorieri,,Stenocereus dumortieri,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus dumortieri,,,
Calderon Vega 2002,,Stenocereus gummosus,,Stenocereus gummosus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus,,,
Sanchez 2016,,Stenocereus gummosus,,Stenocereus gummosus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus,,,
Calderon Vega 2002,,Stenocereus linurberi,,Stenocereus thurberi,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus,,,
Rodríguez-Estrella et al. 2000,,Stenocereus thurberi,,Stenocereus thurberi,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus,,,
Sanchez 2016,,stenocereus thurberi,,Stenocereus thurberi,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus,,,
Nava-Vargas 1994,,Sternocerues dumotieri,,Sternocerues dumotieri,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus,,,
Nava-Vargas 1994,,Sternocerus marginatus,,Pachycereus marginatus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Pachycereus,Pachycereus marginatus,,,
Navarrete-Ozuna 2011,,Storeria storerioides,,Storeria storerioides,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Storeria,Storeria storerioides,,,
Koch & Brody 1981,Cottontail,Sylvilagus spp.,not_specified,Sylvilagus,ITIS,genus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,,,,
Roadman 2014,Desert Cottontail,Desert Cottontail,,Sylvilagus audubonii,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii,,,
Wyatt 1993,Desert Cottontail,Desert Cottontail,,Sylvilagus audubonii,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii,,,
Alexander et al. 1994,Brush rabbit,Sylvilagus bachmani,Sylvilagus bachmani,Sylvilagus bachmani,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus bachmani,,,
Castellanos Morales et al. 2008,Eastern cottontail,Sylvilagus floridanus,,Sylvilagus floridanus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,,,
Toweill & Treer 1977,Eastern cottontail,Sylvilagus floridanus,,Sylvilagus floridanus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Syvilagus,Sylvilagus floridanus,,,
Wood 1954,Cottontail rabbit,cottontail,,Syvilagus,ITIS,genus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,x,,,
Nava-Vargas 1994,,Tagetes coronopfolia,,Tagetes coronopfolia,not recognized,species,Plantae,Tracheophyta,Magnoliopsida ,Asterales,Asteraceae,Tagetes,Tagetes coronopfolia,,,
Roadman 2014,Cliff Chipmunk,Cliff Chipmunk,,Tamias dorsalis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias dorsalis,,,
Roadman 2014,Least chipmunk,Least chipmunk,,Tamias minimus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias minimus,,,
Alexander et al. 1994,Townsend's chipmunk,Tamias townsendii,Neotamias townsendii,Tamias townsendii,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias townsendii,,,
Roadman 2014,Uinta Chipmunk,Uinta Chipmunk,Neotamias umbrinus,Tamias umbrinus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias umbrinus,,,
Mead et al. 2006,California newt,Taricha torosa,,Taricha torosa,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Taricha,Taricha torosa,,,,
Alexander et al. 1994,Pacific yew,Taxus brevifolia,Taxus brevifolia,Taxus brevifolia,ITIS,species,Plantae,,Pinopsida,Pinales,Taxaceae,Taxus,Taxus brevifolia,leaves,,
Calderon Vega 2002,,Telostei,,Teleostei,ITIS,class,Animalia,Chordata,Teleostei,x,x,x,x,,,
Rodríguez-Estrella et al. 2000,Darkling beetle,Tenebrionidae,,Tenebrionidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,x,x,,,
Speir et al. 2021,Darkling beetle,Tenebrionidae,,Tenebrionidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,x,x,,,
Navarrete-Ozuna 2011,Long-horned grasshoppers,Orthoptera Fam. Tettigoniidae,,Tettigoniidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,x,x,,,
Calderon Vega 2002,Long-horned grasshoppers,Orthoptera Tettigonidae,,Tettigoniidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,x,x,,,
Calderon Vega 2002,Tarantula,Aranea Therophosidae,,Theraphosidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Araneae,Theraphosidae,x,x,,,
Sanchez 2016,Tarantula,Theraphosidae,,Theraphosidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Araneae,Theraphosidae,x,x,,,
Trapp 1973,Botta's pocket gopher,Thomomys bottae,,Thomomys bottae,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,,,
Calderon Vega 2002,Willet,Catoptrophorus semipalmatus,,Tringa semipalmatus,ITIS,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmatus,,,
Alexander et al. 1994,Camel crickets,Tropidischia,not_specified,Tropidischia,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,Tropidischia,,,,
Wood 1954,American Robin,robin,,Turdus migratorius,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus migratorius,,,
Cisneros-Moreno & Martínez-Corone 2019,Cassin's kingbird,Tyranus vociferans,,Tyrannus vociferans,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus vociferans,,,
Alexander et al. 1994,Forest scorpion,Uroctonus,not_specified,Uroctonus,not recognized,genus,Animalia,,Arthropoda,Scorpiones,Vaejovidae,Uroctonus,x,,,
Rodríguez-Estrella et al. 2000,Small-scaled lizard,Urosaurus microscutatus,,Urosaurus nigricaudus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Urosaurus,Urosaurus nigricaudus,,,
Calderon Vega 2002,Small-scaled lizard,Urosaurus nigricaudus,,Urosaurus nigricaudus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Urosaurus,Urosaurus nigricaudus,,,
Sanchez 2016,Small-scaled lizard,Usosaurus nigricaudus,,Usosaurus nigricaudus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Urosaurus,Urosaurus nigricaudus,,,
Calderon Vega 2002,Common side-blotched lizard,Uta stanburiana,,Uta stanburiana,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Uta,Uta stansburiana,,,
Mead & van Devender 1981,Common side-blotched lizard,Uta stanburiana,,Uta stanburiana,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Uta,Uta stansburiana,,,
Sanchez 2016,Common side-blotched lizard,Uta stanburiana,,Uta stanburiana,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Uta,Uta stansburiana,,,
